sku,available,note
32EC7B60-07-XXS,20,Verify inventory if 20+ capped at 20.
32EC7B60-07-XS,20,Verify inventory if 20+ capped at 20.
32EC7B60-07-S,20,Verify inventory if 20+ capped at 20.
32EC7B60-07-M,0,Verify inventory if 20+ capped at 20.
32EC7B60-07-L,16,Verify inventory if 20+ capped at 20.
32EC7B60-07-XL,8,Verify inventory if 20+ capped at 20.
32EC7B60-07-XXL,5,Verify inventory if 20+ capped at 20.
32EC7B60-07-3XL,19,Verify inventory if 20+ capped at 20.
32EC7B60-07-4XL,13,Verify inventory if 20+ capped at 20.
32EC7B60-14-XXS,20,Verify inventory if 20+ capped at 20.
32EC7B60-14-XS,7,Verify inventory if 20+ capped at 20.
32EC7B60-14-S,0,Verify inventory if 20+ capped at 20.
32EC7B60-14-M,0,Verify inventory if 20+ capped at 20.
32EC7B60-14-L,0,Verify inventory if 20+ capped at 20.
32EC7B60-14-XL,17,Verify inventory if 20+ capped at 20.
32EC7B60-14-XXL,12,Verify inventory if 20+ capped at 20.
32EC7B60-14-3XL,20,Verify inventory if 20+ capped at 20.
32EC7B60-14-4XL,20,Verify inventory if 20+ capped at 20.
