Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-mizuno-terry-hoodie-m-07,Mizuno - Mizuno Terry Hoodie(m) - 07,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ec7b60, colour-07, vat-standard",FALSE,Size,XS,32EC7B60-07-XS,,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EC7B6007.jpg,1,
mizuno-mizuno-terry-hoodie-m-07,,,,,,,FALSE,Size,S,32EC7B60-07-S,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-07,,,,,,,FALSE,Size,M,32EC7B60-07-M,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-07,,,,,,,FALSE,Size,L,32EC7B60-07-L,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-07,,,,,,,FALSE,Size,XL,32EC7B60-07-XL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-black,Mizuno - Mizuno Terry Hoodie(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ec7b60, colour-09, color-black, vat-standard",FALSE,Size,XS,32EC7B60-09-XS,,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EC7B6009.jpg,1,
mizuno-mizuno-terry-hoodie-m-black,,,,,,,FALSE,Size,S,32EC7B60-09-S,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-black,,,,,,,FALSE,Size,M,32EC7B60-09-M,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-black,,,,,,,FALSE,Size,L,32EC7B60-09-L,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-black,,,,,,,FALSE,Size,XL,32EC7B60-09-XL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,Mizuno - Mizuno Terry Hoodie(m) - Navy,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ec7b60, colour-14, color-navy, vat-standard",FALSE,Size,XS,32EC7B60-14-XS,,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EC7B6014.jpg,1,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,S,32EC7B60-14-S,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,M,32EC7B60-14-M,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,L,32EC7B60-14-L,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,XL,32EC7B60-14-XL,,,TRUE,draft,,,
