sku,available,note
32EC7B60-07-XS,7,Verify inventory if 20+ capped at 20.
32EC7B60-07-S,8,Verify inventory if 20+ capped at 20.
32EC7B60-07-M,5,Verify inventory if 20+ capped at 20.
32EC7B60-07-L,19,Verify inventory if 20+ capped at 20.
32EC7B60-07-XL,13,Verify inventory if 20+ capped at 20.
32EC7B60-09-XS,9,Verify inventory if 20+ capped at 20.
32EC7B60-09-S,0,Verify inventory if 20+ capped at 20.
32EC7B60-09-M,14,Verify inventory if 20+ capped at 20.
32EC7B60-09-L,20,Verify inventory if 20+ capped at 20.
32EC7B60-09-XL,20,Verify inventory if 20+ capped at 20.
32EC7B60-14-XS,14,Verify inventory if 20+ capped at 20.
32EC7B60-14-S,17,Verify inventory if 20+ capped at 20.
32EC7B60-14-M,12,Verify inventory if 20+ capped at 20.
32EC7B60-14-L,20,Verify inventory if 20+ capped at 20.
32EC7B60-14-XL,20,Verify inventory if 20+ capped at 20.
