Handle,Option1 Value,Option2 Value,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
mizuno-chiba-hoodie-jk-m-m-09,S,,,32ECA560-09-S,,,Antrim,,,,20,20
mizuno-chiba-hoodie-jk-m-m-09,M,,,32ECA560-09-M,,,Antrim,,,,20,20
mizuno-chiba-hoodie-jk-m-m-09,L,,,32ECA560-09-L,,,Antrim,,,,20,20
mizuno-chiba-hoodie-jk-m-m-09,XL,,,32ECA560-09-XL,,,Antrim,,,,20,20
mizuno-chiba-hoodie-jk-m-m-09,XXL,,,32ECA560-09-XXL,,,Antrim,,,,20,20
mizuno-chiba-hoodie-jk-m-m-09,3XL,,,32ECA560-09-3XL,,,Antrim,,,,9,9
mizuno-chiba-hoodie-jk-m-m-09,4XL,,,32ECA560-09-4XL,,,Antrim,,,,4,4
mizuno-uni-osaka-wind-jkt-m-black,XXS,,,U2EE8501-09-XXS,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,XS,,,U2EE8501-09-XS,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,S,,,U2EE8501-09-S,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,M,,,U2EE8501-09-M,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,L,,,U2EE8501-09-L,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,XL,,,U2EE8501-09-XL,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,XXL,,,U2EE8501-09-XXL,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,3XL,,,U2EE8501-09-3XL,,,Antrim,,,,0,0
mizuno-uni-osaka-wind-jkt-m-black,4XL,,,U2EE8501-09-4XL,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,4XL,,,32EE4A23-09-4XL,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,XXS,,,32EE4A23-09-XXS,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,XS,,,32EE4A23-09-XS,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,S,,,32EE4A23-09-S,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,M,,,32EE4A23-09-M,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,L,,,32EE4A23-09-L,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,XL,,,32EE4A23-09-XL,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,XXL,,,32EE4A23-09-XXL,,,Antrim,,,,0,0
mizuno-bench-jacket-u-black,3XL,,,32EE4A23-09-3XL,,,Antrim,,,,0,0
mizuno-sideline-jacket-m-09,S,,,32EE6A10-09-S,,,Antrim,,,,0,0
mizuno-sideline-jacket-m-09,M,,,32EE6A10-09-M,,,Antrim,,,,16,16
mizuno-sideline-jacket-m-09,L,,,32EE6A10-09-L,,,Antrim,,,,0,0
mizuno-sideline-jacket-m-09,XL,,,32EE6A10-09-XL,,,Antrim,,,,0,0
mizuno-sideline-jacket-m-09,XXL,,,32EE6A10-09-XXL,,,Antrim,,,,0,0
mizuno-sideline-jacket-m-09,3XL,,,32EE6A10-09-3XL,,,Antrim,,,,0,0
mizuno-sideline-jacket-m-09,4XL,,,32EE6A10-09-4XL,,,Antrim,,,,8,8
mizuno-sapporo-hybrid-jkt-m-m-black,S,,,32FE9A02-09-S,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-jkt-m-m-black,M,,,32FE9A02-09-M,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-jkt-m-m-black,L,,,32FE9A02-09-L,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-jkt-m-m-black,XL,,,32FE9A02-09-XL,,,Antrim,,,,3,3
mizuno-sapporo-hybrid-jkt-m-m-black,XXL,,,32FE9A02-09-XXL,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-jkt-m-m-black,3XL,,,32FE9A02-09-3XL,,,Antrim,,,,2,2
mizuno-sapporo-hybrid-jkt-m-m-black,4XL,,,32FE9A02-09-4XL,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-jkt-m-m-black,XS,,,32FE9A02-09-XS,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-glt-m-m-black,S,,,32FE9A06-09-S,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-glt-m-m-black,M,,,32FE9A06-09-M,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-glt-m-m-black,L,,,32FE9A06-09-L,,,Antrim,,,,20,20
mizuno-sapporo-hybrid-glt-m-m-black,XL,,,32FE9A06-09-XL,,,Antrim,,,,20,20
