Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand (new)
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,Size,S,,,,,32ECA560-09-S,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,Size,M,,,,,32ECA560-09-M,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,Size,L,,,,,32ECA560-09-L,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,Size,XL,,,,,32ECA560-09-XL,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,Size,XXL,,,,,32ECA560-09-XXL,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,Size,3XL,,,,,32ECA560-09-3XL,,,Antrim,,,,,9
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,Size,4XL,,,,,32ECA560-09-4XL,,,Antrim,,,,,4
mizuno-chiba-hoodie-jk-m-m-62,Mizuno - Chiba Hoodie Jk M(m) - 62,Size,S,,,,,32ECA560-62-S,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-62,Mizuno - Chiba Hoodie Jk M(m) - 62,Size,M,,,,,32ECA560-62-M,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-62,Mizuno - Chiba Hoodie Jk M(m) - 62,Size,L,,,,,32ECA560-62-L,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-62,Mizuno - Chiba Hoodie Jk M(m) - 62,Size,XL,,,,,32ECA560-62-XL,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-62,Mizuno - Chiba Hoodie Jk M(m) - 62,Size,XXL,,,,,32ECA560-62-XXL,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-62,Mizuno - Chiba Hoodie Jk M(m) - 62,Size,3XL,,,,,32ECA560-62-3XL,,,Antrim,,,,,20
mizuno-chiba-hoodie-jk-m-m-62,Mizuno - Chiba Hoodie Jk M(m) - 62,Size,4XL,,,,,32ECA560-62-4XL,,,Antrim,,,,,10
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,XXS,,,,,U2EE8501-09-XXS,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,XS,,,,,U2EE8501-09-XS,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,S,,,,,U2EE8501-09-S,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,M,,,,,U2EE8501-09-M,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,L,,,,,U2EE8501-09-L,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,XL,,,,,U2EE8501-09-XL,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,XXL,,,,,U2EE8501-09-XXL,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,3XL,,,,,U2EE8501-09-3XL,,,Antrim,,,,,0
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,Size,4XL,,,,,U2EE8501-09-4XL,,,Antrim,,,,,0
mizuno-bench-jacket-u-black,Mizuno - Bench Jacket(u) - Black,Size,4XL,,,,,32EE4A23-09-4XL,,,Antrim,,,,,0
mizuno-bench-jacket-u-black,Mizuno - Bench Jacket(u) - Black,Size,XXS,,,,,32EE4A23-09-XXS,,,Antrim,,,,,0
