itemid,ManCode,productname,UKSize,Barcode,Available Physical
32ECA560-09-S,32ECA560,Mizuno - Chiba Hoodie Jk M(m) - 09,S,,20
32ECA560-09-M,32ECA560,Mizuno - Chiba Hoodie Jk M(m) - 09,M,,20
32ECA560-09-L,32ECA560,Mizuno - Chiba Hoodie Jk M(m) - 09,L,,20
32ECA560-09-XL,32ECA560,Mizuno - Chiba Hoodie Jk M(m) - 09,XL,,20
32ECA560-09-XXL,32ECA560,Mizuno - Chiba Hoodie Jk M(m) - 09,XXL,,20
32ECA560-09-3XL,32ECA560,Mizuno - Chiba Hoodie Jk M(m) - 09,3XL,,9
32ECA560-09-4XL,32ECA560,Mizuno - Chiba Hoodie Jk M(m) - 09,4XL,,4
U2EE8501-09-XXS,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,XXS,,0
U2EE8501-09-XS,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,XS,,0
U2EE8501-09-S,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,S,,0
U2EE8501-09-M,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,M,,0
U2EE8501-09-L,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,L,,0
U2EE8501-09-XL,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,XL,,0
U2EE8501-09-XXL,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,XXL,,0
U2EE8501-09-3XL,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,3XL,,0
U2EE8501-09-4XL,U2EE8501,Mizuno - Uni Osaka Wind Jkt(m) - Black,4XL,,0
32EE4A23-09-4XL,32EE4A23,Mizuno - Bench Jacket(u) - Black,4XL,,0
32EE4A23-09-XXS,32EE4A23,Mizuno - Bench Jacket(u) - Black,XXS,,0
32EE4A23-09-XS,32EE4A23,Mizuno - Bench Jacket(u) - Black,XS,,0
32EE4A23-09-S,32EE4A23,Mizuno - Bench Jacket(u) - Black,S,,0
32EE4A23-09-M,32EE4A23,Mizuno - Bench Jacket(u) - Black,M,,0
32EE4A23-09-L,32EE4A23,Mizuno - Bench Jacket(u) - Black,L,,0
32EE4A23-09-XL,32EE4A23,Mizuno - Bench Jacket(u) - Black,XL,,0
32EE4A23-09-XXL,32EE4A23,Mizuno - Bench Jacket(u) - Black,XXL,,0
32EE4A23-09-3XL,32EE4A23,Mizuno - Bench Jacket(u) - Black,3XL,,0
32EE6A10-09-S,32EE6A10,Mizuno - Sideline Jacket (m) - 09,S,,0
32EE6A10-09-M,32EE6A10,Mizuno - Sideline Jacket (m) - 09,M,,16
32EE6A10-09-L,32EE6A10,Mizuno - Sideline Jacket (m) - 09,L,,0
32EE6A10-09-XL,32EE6A10,Mizuno - Sideline Jacket (m) - 09,XL,,0
32EE6A10-09-XXL,32EE6A10,Mizuno - Sideline Jacket (m) - 09,XXL,,0
32EE6A10-09-3XL,32EE6A10,Mizuno - Sideline Jacket (m) - 09,3XL,,0
32EE6A10-09-4XL,32EE6A10,Mizuno - Sideline Jacket (m) - 09,4XL,,8
32FE9A02-09-S,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,S,,20
32FE9A02-09-M,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,M,,20
32FE9A02-09-L,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,L,,20
32FE9A02-09-XL,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,XL,,3
32FE9A02-09-XXL,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,XXL,,20
32FE9A02-09-3XL,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,3XL,,2
32FE9A02-09-4XL,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,4XL,,20
32FE9A02-09-XS,32FE9A02,Mizuno - Sapporo Hybrid Jkt M(m) - Black,XS,,20
32FE9A06-09-S,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,S,,20
32FE9A06-09-M,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,M,,20
32FE9A06-09-L,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,L,,20
32FE9A06-09-XL,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,XL,,20
32FE9A06-09-XXL,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,XXL,,20
32FE9A06-09-3XL,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,3XL,,20
32FE9A06-09-4XL,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,4XL,,20
32FE9A06-09-XS,32FE9A06,Mizuno - Sapporo Hybrid Glt M(m) - Black,XS,,0
32FE9A07-09-S,32FE9A07,Mizuno - Mizuno Club Jacket M(m) - Black,S,,20
32FE9A07-09-M,32FE9A07,Mizuno - Mizuno Club Jacket M(m) - Black,M,,20
32FE9A07-09-L,32FE9A07,Mizuno - Mizuno Club Jacket M(m) - Black,L,,20
32FE9A07-09-XL,32FE9A07,Mizuno - Mizuno Club Jacket M(m) - Black,XL,,20
32FE9A07-09-XXL,32FE9A07,Mizuno - Mizuno Club Jacket M(m) - Black,XXL,,20
32FE9A07-09-3XL,32FE9A07,Mizuno - Mizuno Club Jacket M(m) - Black,3XL,,20
32FE9A07-09-4XL,32FE9A07,Mizuno - Mizuno Club Jacket M(m) - Black,4XL,,17
U2EA7101-19-4XL,U2EA7101,Mizuno - Men Auth Singlet(m) - 19,4XL,,0
32EB4A01-09-M,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,M,,17
32EB4A01-09-L,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,L,,20
32EB4A01-09-XL,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,XL,,20
32EB4A01-09-XXL,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,XXL,,20
32EB4A01-09-3XL,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,3XL,,20
32EB4A01-09-S,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,S,,20
32EB4A01-09-4XL,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,4XL,,20
32EB4A01-09-XS,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,XS,,20
32EB4B01-09-Y8,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y8,,1
32EB4B01-09-Y10,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y10,,15
32EB4B01-09-Y12,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y12,,2
32EB4B01-09-YXS,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,YXS,,20
32EB4B01-09-Y6,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y6,,17
32EB8A11-01-S,32EB8A11,Mizuno - Authentic R Short M(m) - White,S,,20
32EB8A11-01-M,32EB8A11,Mizuno - Authentic R Short M(m) - White,M,,20
