Handle,Option1 Value,Option2 Value,Option3 Value,SKU,Location,On hand (new)
32eca560-09,S,,,32ECA560-09-S,Antrim,20
32eca560-09,M,,,32ECA560-09-M,Antrim,20
32eca560-09,L,,,32ECA560-09-L,Antrim,20
32eca560-09,XL,,,32ECA560-09-XL,Antrim,20
32eca560-09,XXL,,,32ECA560-09-XXL,Antrim,20
32eca560-09,3XL,,,32ECA560-09-3XL,Antrim,9
32eca560-09,4XL,,,32ECA560-09-4XL,Antrim,4
32eca560-62,S,,,32ECA560-62-S,Antrim,20
32eca560-62,M,,,32ECA560-62-M,Antrim,20
32eca560-62,L,,,32ECA560-62-L,Antrim,20
32eca560-62,XL,,,32ECA560-62-XL,Antrim,20
32eca560-62,XXL,,,32ECA560-62-XXL,Antrim,20
32eca560-62,3XL,,,32ECA560-62-3XL,Antrim,20
32eca560-62,4XL,,,32ECA560-62-4XL,Antrim,10
u2ee8501-09,XXS,,,U2EE8501-09-XXS,Antrim,0
u2ee8501-09,XS,,,U2EE8501-09-XS,Antrim,0
u2ee8501-09,S,,,U2EE8501-09-S,Antrim,0
u2ee8501-09,M,,,U2EE8501-09-M,Antrim,0
u2ee8501-09,L,,,U2EE8501-09-L,Antrim,0
u2ee8501-09,XL,,,U2EE8501-09-XL,Antrim,0
u2ee8501-09,XXL,,,U2EE8501-09-XXL,Antrim,0
u2ee8501-09,3XL,,,U2EE8501-09-3XL,Antrim,0
u2ee8501-09,4XL,,,U2EE8501-09-4XL,Antrim,0
32ee4a23-09,4XL,,,32EE4A23-09-4XL,Antrim,0
32ee4a23-09,XXS,,,32EE4A23-09-XXS,Antrim,0
32ee4a23-09,XS,,,32EE4A23-09-XS,Antrim,0
32ee4a23-09,S,,,32EE4A23-09-S,Antrim,0
32ee4a23-09,M,,,32EE4A23-09-M,Antrim,0
32ee4a23-09,L,,,32EE4A23-09-L,Antrim,0
32ee4a23-09,XL,,,32EE4A23-09-XL,Antrim,0
32ee4a23-09,XXL,,,32EE4A23-09-XXL,Antrim,0
32ee4a23-09,3XL,,,32EE4A23-09-3XL,Antrim,0
32ee6a10-09,S,,,32EE6A10-09-S,Antrim,0
32ee6a10-09,M,,,32EE6A10-09-M,Antrim,16
32ee6a10-09,L,,,32EE6A10-09-L,Antrim,0
32ee6a10-09,XL,,,32EE6A10-09-XL,Antrim,0
32ee6a10-09,XXL,,,32EE6A10-09-XXL,Antrim,0
32ee6a10-09,3XL,,,32EE6A10-09-3XL,Antrim,0
32ee6a10-09,4XL,,,32EE6A10-09-4XL,Antrim,8
32fe9a02-09,S,,,32FE9A02-09-S,Antrim,20
32fe9a02-09,M,,,32FE9A02-09-M,Antrim,20
32fe9a02-09,L,,,32FE9A02-09-L,Antrim,20
32fe9a02-09,XL,,,32FE9A02-09-XL,Antrim,3
32fe9a02-09,XXL,,,32FE9A02-09-XXL,Antrim,20
32fe9a02-09,3XL,,,32FE9A02-09-3XL,Antrim,2
32fe9a02-09,4XL,,,32FE9A02-09-4XL,Antrim,20
32fe9a02-09,XS,,,32FE9A02-09-XS,Antrim,20
32fe9a06-09,S,,,32FE9A06-09-S,Antrim,20
32fe9a06-09,M,,,32FE9A06-09-M,Antrim,20
32fe9a06-09,L,,,32FE9A06-09-L,Antrim,20
32fe9a06-09,XL,,,32FE9A06-09-XL,Antrim,20
32fe9a06-09,XXL,,,32FE9A06-09-XXL,Antrim,20
32fe9a06-09,3XL,,,32FE9A06-09-3XL,Antrim,20
32fe9a06-09,4XL,,,32FE9A06-09-4XL,Antrim,20
32fe9a06-09,XS,,,32FE9A06-09-XS,Antrim,0
32fe9a07-09,S,,,32FE9A07-09-S,Antrim,20
32fe9a07-09,M,,,32FE9A07-09-M,Antrim,20
32fe9a07-09,L,,,32FE9A07-09-L,Antrim,20
32fe9a07-09,XL,,,32FE9A07-09-XL,Antrim,20
32fe9a07-09,XXL,,,32FE9A07-09-XXL,Antrim,20
32fe9a07-09,3XL,,,32FE9A07-09-3XL,Antrim,20
32fe9a07-09,4XL,,,32FE9A07-09-4XL,Antrim,17
