Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-chiba-hoodie-jk-m-m-09,Mizuno - Chiba Hoodie Jk M(m) - 09,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eca560, colour-09, vat-exempt-junior",FALSE,Size,Y6,32ECA960-09-Y6,35.2,,shopify,,deny,manual,FALSE,draft,https://www.mizunodirect.com/img_catalog/32ECA56009.jpg,1,17.6
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,Y8,32ECA960-09-Y8,35.2,,shopify,,deny,manual,FALSE,draft,,,17.6
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,Y10,32ECA960-09-Y10,35.2,,shopify,,deny,manual,FALSE,draft,,,17.6
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,Y12,32ECA960-09-Y12,35.2,,shopify,,deny,manual,FALSE,draft,,,17.6
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,Y14,32ECA960-09-Y14,35.2,,shopify,,deny,manual,FALSE,draft,,,17.6
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,S,32ECA560-09-S,44,,shopify,20,deny,manual,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,M,32ECA560-09-M,44,,shopify,20,deny,manual,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,L,32ECA560-09-L,44,,shopify,20,deny,manual,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,XL,32ECA560-09-XL,44,,shopify,20,deny,manual,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,XXL,32ECA560-09-XXL,44,,shopify,20,deny,manual,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,3XL,32ECA560-09-3XL,44,,shopify,9,deny,manual,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-09,,,,,,,FALSE,Size,4XL,32ECA560-09-4XL,44,,shopify,4,deny,manual,TRUE,draft,,,22
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-u2ee8501, colour-09, color-black, vat-exempt-junior",FALSE,Size,Y6,U2EE8901-09-Y6,46,,shopify,,deny,manual,FALSE,draft,https://www.mizunodirect.com/img_catalog/U2EE850109.jpg,1,23
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,Y8,U2EE8901-09-Y8,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,Y10,U2EE8901-09-Y10,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,Y12,U2EE8901-09-Y12,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,Y14,U2EE8901-09-Y14,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,XXS,U2EE8501-09-XXS,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,XS,U2EE8501-09-XS,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,S,U2EE8501-09-S,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,M,U2EE8501-09-M,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,L,U2EE8501-09-L,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,XL,U2EE8501-09-XL,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,XXL,U2EE8501-09-XXL,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,3XL,U2EE8501-09-3XL,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,4XL,U2EE8501-09-4XL,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-bench-jacket-u-black,Mizuno - Bench Jacket(u) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ee4a23, colour-09, color-black, vat-standard",FALSE,Size,XXS,32EE4A23-09-XXS,50,,shopify,0,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EE4A2309.jpg,1,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,XS,32EE4A23-09-XS,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,S,32EE4A23-09-S,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,M,32EE4A23-09-M,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,L,32EE4A23-09-L,50,,shopify,0,deny,manual,TRUE,draft,,,25
